,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
wavelet-HHH_firstorder_Median,0.1459205951941203,0.12,0.17,0.1459295225356359,0.12,0.17,0.1459920883464734,0.12,0.17,0.8750765810527584,0.85,0.89,0.8750844112832666,0.85,0.89,0.8751392652268377,0.85,0.89,Wavelet (HHH),firstorder,Median
wavelet-HHH_firstorder_Minimum,0.7271743686739796,0.69,0.76,0.7272388750554001,0.69,0.76,0.7343577117102752,0.7,0.77,0.9909321015615372,0.99,0.99,0.9909350229697808,0.99,0.99,0.9912543757641102,0.99,0.99,Wavelet (HHH),firstorder,Minimum
wavelet-HHH_firstorder_Range,0.7357608968645449,0.7,0.77,0.735826201166099,0.7,0.77,0.7433584882440833,0.71,0.77,0.9913166178682256,0.99,0.99,0.9913195090275214,0.99,0.99,0.9916496818971048,0.99,0.99,Wavelet (HHH),firstorder,Range
wavelet-HHH_firstorder_RobustMeanAbsoluteDeviation,0.8291342604741532,0.81,0.85,0.8291636034176798,0.81,0.85,0.8350431176348116,0.81,0.86,0.9949988617881048,0.99,1.0,0.9949998924123328,0.99,1.0,0.9952049821984849,0.99,1.0,Wavelet (HHH),firstorder,RobustMeanAbsoluteDeviation
wavelet-HHH_firstorder_RootMeanSquared,0.8586081505991314,0.84,0.88,0.8586296607684701,0.84,0.88,0.8640188886489805,0.84,0.88,0.9959995884684576,1.0,1.0,0.996000294424573,1.0,1.0,0.9961760904889864,1.0,1.0,Wavelet (HHH),firstorder,RootMeanSquared
wavelet-HHH_firstorder_Skewness,0.112641717456949,0.09,0.13,0.1126436127480831,0.09,0.13,0.1126534779365065,0.09,0.13,0.8388282457277906,0.81,0.86,0.8388308092297814,0.81,0.86,0.8388441513855561,0.81,0.86,Wavelet (HHH),firstorder,Skewness
wavelet-HHH_firstorder_TotalEnergy,0.9738456453073778,0.97,0.98,0.9738459329611784,0.97,0.98,0.97428526826151,0.97,0.98,0.999345385475336,1.0,1.0,0.9993453928635098,1.0,1.0,0.999356671899526,1.0,1.0,Wavelet (HHH),firstorder,TotalEnergy
wavelet-HHH_firstorder_Uniformity,0.3615488398425783,0.32,0.4,0.3617869175014542,0.32,0.4,0.3674041037292673,0.33,0.41,0.9587082475517564,0.95,0.97,0.958749051892626,0.95,0.97,0.9596974209584732,0.95,0.97,Wavelet (HHH),firstorder,Uniformity
wavelet-HHH_firstorder_Variance,0.9728904254446654,0.97,0.98,0.9728906929424288,0.97,0.98,0.9732844434184376,0.97,0.98,0.9993208278718764,1.0,1.0,0.9993208347555173,1.0,1.0,0.999330963315173,1.0,1.0,Wavelet (HHH),firstorder,Variance
wavelet-HHH_glcm_Autocorrelation,0.119722617210672,0.1,0.14,0.1197400943433969,0.1,0.14,0.1198376444529399,0.1,0.14,0.8479371435240298,0.82,0.87,0.8479585235781006,0.82,0.87,0.8480777634033811,0.82,0.87,Wavelet (HHH),glcm,Autocorrelation
wavelet-HHH_glcm_ClusterProminence,0.3919813889332616,0.35,0.43,0.3921118497260096,0.35,0.43,0.3955919717042684,0.36,0.44,0.963546417945523,0.96,0.97,0.963565638888388,0.96,0.97,0.9640739678264288,0.96,0.97,Wavelet (HHH),glcm,ClusterProminence
wavelet-HHH_glcm_ClusterShade,0.1717303649426172,0.15,0.2,0.1717753970029842,0.15,0.2,0.1721591608611002,0.15,0.2,0.8947455778752083,0.88,0.91,0.894775386606836,0.88,0.91,0.8950288645575392,0.88,0.91,Wavelet (HHH),glcm,ClusterShade
wavelet-HHH_glcm_ClusterTendency,0.3349548150726957,0.3,0.38,0.3351964168805125,0.3,0.38,0.340264568651553,0.3,0.38,0.9538105091889802,0.95,0.96,0.9538582595520362,0.95,0.96,0.9548453718229508,0.95,0.96,Wavelet (HHH),glcm,ClusterTendency
