,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
wavelet-LLL_firstorder_Range,0.9436344171549554,0.93,0.95,0.9436347140789446,0.93,0.95,0.9438385650853673,0.93,0.95,0.9985452307432302,1.0,1.0,0.9985452388526398,1.0,1.0,0.9985508051356914,1.0,1.0
wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,0.9890353887609451,0.99,0.99,0.9890353860460902,0.99,0.99,0.9890253457928331,0.99,0.99,0.9997296787824029,1.0,1.0,0.9997296787147473,1.0,1.0,0.9997294285036193,1.0,1.0
wavelet-LLL_firstorder_RootMeanSquared,0.9948463273463642,0.99,1.0,0.9948463292414867,0.99,1.0,0.9948613283991455,0.99,1.0,0.9998736654602893,1.0,1.0,0.9998736655069802,1.0,1.0,0.9998740350413884,1.0,1.0
wavelet-LLL_firstorder_Skewness,0.9739708369436679,0.97,0.98,0.973970855250441,0.97,0.98,0.9739989415121602,0.97,0.98,0.9993486005273196,1.0,1.0,0.9993486009973976,1.0,1.0,0.9993493221712407,1.0,1.0
wavelet-LLL_firstorder_TotalEnergy,0.9955223346030858,0.99,1.0,0.9955223353464233,0.99,1.0,0.9955291113282535,0.99,1.0,0.9998903094708198,1.0,1.0,0.9998903094891094,1.0,1.0,0.9998904762092987,1.0,1.0
wavelet-LLL_firstorder_Uniformity,0.916236729523755,0.9,0.93,0.916237339838244,0.9,0.93,0.916511132406629,0.9,0.93,0.9977751805723033,1.0,1.0,0.9977751982253448,1.0,1.0,0.9977831152304072,1.0,1.0
wavelet-LLL_firstorder_Variance,0.9588432724225842,0.95,0.97,0.9588432895113396,0.95,0.97,0.9588596128308879,0.95,0.97,0.9989541848602554,1.0,1.0,0.9989541853126552,1.0,1.0,0.9989546174415388,1.0,1.0
wavelet-LLL_glcm_Autocorrelation,0.8665020078376333,0.85,0.88,0.8665029959680407,0.85,0.88,0.86676603807413,0.85,0.89,0.9962563743270144,1.0,1.0,0.9962564061860779,1.0,1.0,0.9962648846155432,1.0,1.0
wavelet-LLL_glcm_ClusterProminence,0.9194413629196354,0.91,0.93,0.9194416744698075,0.91,0.93,0.9195874863112941,0.91,0.93,0.9978675585313384,1.0,1.0,0.9978675674817238,1.0,1.0,0.9978717557967361,1.0,1.0
wavelet-LLL_glcm_ClusterShade,0.9688345993415161,0.96,0.97,0.968834671558561,0.96,0.97,0.9689267253734335,0.96,0.97,0.9992160315036542,1.0,1.0,0.9992160333772475,1.0,1.0,0.9992184213928121,1.0,1.0
