,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6,Filter,Class,Name
original_glrlm_LongRunHighGrayLevelEmphasis,0.6600978849354627,0.62,0.7,0.6600957058593141,0.62,0.7,0.6599222475270555,0.62,0.7,0.9875965857383812,0.99,0.99,0.9875964667697652,0.99,0.99,0.9875869942281472,0.99,0.99,Original,glrlm,LongRunHighGrayLevelEmphasis
original_glrlm_LongRunLowGrayLevelEmphasis,0.6754361188186951,0.64,0.71,0.6754350624745826,0.64,0.71,0.6753449438120843,0.64,0.71,0.9884156501763256,0.99,0.99,0.9884155950025276,0.99,0.99,0.988410887411396,0.99,0.99,Original,glrlm,LongRunLowGrayLevelEmphasis
original_glrlm_LowGrayLevelRunEmphasis,0.8703264015496567,0.85,0.89,0.8703271848493898,0.85,0.89,0.8705427856619593,0.85,0.89,0.9963791529484136,1.0,1.0,0.9963791779880886,1.0,1.0,0.9963860684154148,1.0,1.0,Original,glrlm,LowGrayLevelRunEmphasis
original_glrlm_RunEntropy,0.8152624186213038,0.79,0.84,0.8152633448572644,0.79,0.84,0.8154309693370525,0.79,0.84,0.994503574797448,0.99,1.0,0.994503608414154,0.99,1.0,0.994509690938432,0.99,1.0,Original,glrlm,RunEntropy
original_glrlm_RunLengthNonUniformity,0.8595728488450405,0.84,0.88,0.8595825546519751,0.84,0.88,0.8620253351804736,0.84,0.88,0.9960312157631136,1.0,1.0,0.996031533614088,1.0,1.0,0.9961113099212816,1.0,1.0,Original,glrlm,RunLengthNonUniformity
original_glrlm_RunLengthNonUniformityNormalized,0.8669023432297343,0.85,0.89,0.8669120038707524,0.85,0.89,0.869499553897042,0.85,0.89,0.996269276065351,1.0,1.0,0.996269587258842,1.0,1.0,0.996352696724822,1.0,1.0,Original,glrlm,RunLengthNonUniformityNormalized
original_glrlm_RunPercentage,0.8514209152608792,0.83,0.87,0.8514287634985002,0.83,0.87,0.8532767049654868,0.83,0.87,0.9957617657750986,1.0,1.0,0.995762027597416,1.0,1.0,0.9958235458653012,1.0,1.0,Original,glrlm,RunPercentage
original_glrlm_RunVariance,0.6259229604523934,0.59,0.66,0.6259216536678671,0.59,0.66,0.6258320172350016,0.59,0.66,0.9856328220743812,0.98,0.99,0.9856327430411844,0.98,0.99,0.9856273211498332,0.98,0.99,Original,glrlm,RunVariance
original_glrlm_ShortRunEmphasis,0.8657952290260547,0.85,0.88,0.8658036156312087,0.85,0.88,0.8680276200330248,0.85,0.89,0.9962335684284964,1.0,1.0,0.99623383925441,1.0,1.0,0.9963054787722552,1.0,1.0,Original,glrlm,ShortRunEmphasis
original_glrlm_ShortRunHighGrayLevelEmphasis,0.8100995374183814,0.78,0.83,0.8101059051323014,0.78,0.83,0.8112211767682007,0.79,0.84,0.9943150350924432,0.99,1.0,0.9943152690664542,0.99,1.0,0.994356193418786,0.99,1.0,Original,glrlm,ShortRunHighGrayLevelEmphasis
original_glrlm_ShortRunLowGrayLevelEmphasis,0.8536994894524624,0.83,0.87,0.8537002856582314,0.83,0.87,0.853890816671834,0.83,0.87,0.995837584057358,1.0,1.0,0.9958376104819354,1.0,1.0,0.9958439324727087,1.0,1.0,Original,glrlm,ShortRunLowGrayLevelEmphasis
original_glszm_GrayLevelNonUniformity,0.878104597600577,0.86,0.9,0.8781069814350559,0.86,0.9,0.8788116232646676,0.86,0.9,0.996625656576124,1.0,1.0,0.9966257314728302,1.0,1.0,0.9966478530034392,1.0,1.0,Original,glszm,GrayLevelNonUniformity
original_glszm_GrayLevelNonUniformityNormalized,0.6907646948414097,0.66,0.73,0.6907694380862361,0.66,0.73,0.691204125082726,0.66,0.73,0.9891991283103484,0.99,0.99,0.9891993655547604,0.99,0.99,0.9892210940951504,0.99,0.99,Original,glszm,GrayLevelNonUniformityNormalized
original_glszm_GrayLevelVariance,0.8604860909230906,0.84,0.88,0.8604870302923077,0.84,0.88,0.8607246414936506,0.84,0.88,0.9960610925878162,1.0,1.0,0.996061123287666,1.0,1.0,0.9960688866499332,1.0,1.0,Original,glszm,GrayLevelVariance
original_glszm_HighGrayLevelZoneEmphasis,0.7755643749353877,0.75,0.8,0.7755704245040214,0.75,0.8,0.7764284850446953,0.75,0.8,0.9929913311130436,0.99,0.99,0.992991572988878,0.99,0.99,0.9930258432559071,0.99,0.99,Original,glszm,HighGrayLevelZoneEmphasis
original_glszm_LargeAreaEmphasis,0.8408403001800787,0.82,0.86,0.8408424243463671,0.82,0.86,0.8413027779852511,0.82,0.86,0.9954044729788272,0.99,1.0,0.995404545585365,0.99,1.0,0.9954202726215472,0.99,1.0,Original,glszm,LargeAreaEmphasis
original_glszm_LargeAreaHighGrayLevelEmphasis,0.8137348249969887,0.79,0.84,0.8137351728520353,0.79,0.84,0.8137974841565134,0.79,0.84,0.9944480314441552,0.99,1.0,0.9944480441152064,0.99,1.0,0.994450313712173,0.99,1.0,Original,glszm,LargeAreaHighGrayLevelEmphasis
original_glszm_LargeAreaLowGrayLevelEmphasis,0.8319512563556454,0.81,0.85,0.8319513969719301,0.81,0.85,0.8319799398039095,0.81,0.85,0.9950974824297762,0.99,1.0,0.99509748733645,0.99,1.0,0.9950984832785428,0.99,1.0,Original,glszm,LargeAreaLowGrayLevelEmphasis
