,ICC1,LowerICC1,HigherICC1,ICC2,LowerICC2,HigherICC2,ICC3,LowerICC3,HigherICC3,ICC4,LowerICC4,HigherICC4,ICC5,LowerICC5,HigherICC5,ICC6,LowerICC6,HigherICC6
RelativeVolume_At_AbsolutemGy_2300.00,0.9851798975536749,0.98,0.99,0.9851799201933489,0.98,0.99,0.9852416287759254,0.98,0.99,0.9996332311085824,1.0,1.0,0.9996332316770905,1.0,1.0,0.9996347811552283,1.0,1.0
RelativeVolume_At_AbsolutemGy_2400.00,0.9843810625578956,0.98,0.99,0.9843810880739896,0.98,0.99,0.984447026551681,0.98,0.99,0.999613155575692,1.0,1.0,0.9996131562174447,1.0,1.0,0.9996148145212372,1.0,1.0
RelativeVolume_At_AbsolutemGy_2500.00,0.9836160161026816,0.98,0.99,0.9836160446467173,0.98,0.99,0.9836863092091778,0.98,0.99,0.9995938993721163,1.0,1.0,0.9995939000911138,1.0,1.0,0.999595669866789,1.0,1.0
RelativeVolume_At_AbsolutemGy_2600.00,0.982746966867061,0.98,0.99,0.9827469981487237,0.98,0.99,0.9828200585815108,0.98,0.99,0.9995719899513423,1.0,1.0,0.999571990740658,1.0,1.0,0.9995738341067881,1.0,1.0
RelativeVolume_At_AbsolutemGy_2700.00,0.981831590714016,0.98,0.98,0.9818316263080592,0.98,0.98,0.981910497095262,0.98,0.98,0.9995488716918114,1.0,1.0,0.9995488725915731,1.0,1.0,0.9995508661654406,1.0,1.0
RelativeVolume_At_AbsolutemGy_2800.00,0.9808183080982051,0.98,0.98,0.9808183484756728,0.98,0.98,0.9809030053226356,0.98,0.98,0.9995232316873893,1.0,1.0,0.9995232327101261,1.0,1.0,0.9995253768361284,1.0,1.0
RelativeVolume_At_AbsolutemGy_2900.00,0.9797168884252039,0.98,0.98,0.9797169338623917,0.98,0.98,0.9798069253073941,0.98,0.98,0.9994953028109592,1.0,1.0,0.9994953039643804,1.0,1.0,0.9994975881887351,1.0,1.0
RelativeVolume_At_AbsolutemGy_3000.00,0.9785881712356399,0.98,0.98,0.9785882203028162,0.98,0.98,0.9786801724660893,0.98,0.98,0.999466618146316,1.0,1.0,0.9994666193946875,1.0,1.0,0.9994689586354605,1.0,1.0
RelativeVolume_At_AbsolutemGy_3100.00,0.9773339962995863,0.97,0.98,0.9773340494276226,0.97,0.98,0.9774279822633711,0.97,0.98,0.9994346693870484,1.0,1.0,0.9994346707421213,1.0,1.0,0.9994370663495031,1.0,1.0
RelativeVolume_At_AbsolutemGy_3200.00,0.9758652119502278,0.97,0.98,0.9758652702414549,0.97,0.98,0.9759619145838887,0.97,0.98,0.9993971518901446,1.0,1.0,0.9993971533812757,1.0,1.0,0.999399625373706,1.0,1.0
RelativeVolume_At_AbsolutemGy_3300.00,0.9741880943798427,0.97,0.98,0.9741881589647612,0.97,0.98,0.9742881088514269,0.97,0.98,0.9993541780129952,1.0,1.0,0.9993541796706743,1.0,1.0,0.9993567447935979,1.0,1.0
RelativeVolume_At_AbsolutemGy_3400.00,0.97219518605848,0.97,0.98,0.9721952609131223,0.97,0.98,0.9723025817477294,0.97,0.98,0.9993029244843373,1.0,1.0,0.999302926413293,1.0,1.0,0.9993056917038224,1.0,1.0
RelativeVolume_At_AbsolutemGy_3500.00,0.9700889494841112,0.97,0.97,0.9700890366583017,0.97,0.97,0.9702049687329388,0.97,0.97,0.9992485332459125,1.0,1.0,0.9992485355018547,1.0,1.0,0.999251535306717,1.0,1.0
RelativeVolume_At_AbsolutemGy_3600.00,0.9676973699375236,0.96,0.97,0.9676974729287228,0.96,0.97,0.9678239880598224,0.96,0.97,0.9991864935114992,1.0,1.0,0.9991864961896201,1.0,1.0,0.9991897855932385,1.0,1.0
